COLEGIO;COLEGIO_TIPO
1283 OKINAWA;Publica
1286 HEROES DEL CENEPA;Publica
129 YAMAGUCHI;Publica
1290 NUEVA AMERICA;Publica
13 DE ABRIL;Publica
13 DE AGOSTO;Privada
133 JULIO CESAR TELLO;Publica
133 SUSANA HIGUSHI HIGUSHI;Publica
134 RAMIRO PRIALE;Publica
135 TORIBIO RODRIGUEZ DE MENDOZA;Publica
136;Publica
139 GRAN AMAUTA MARIATEGUI;Publica
14001 MAGDALENA SEMINARIO DE LLIROD;Publica
14008 LEONOR CERNA DE VALDIVIEZO;Publica
14011 NUESTRA SEÑORA DEL PILAR;Publica
14036 SAN MIGUEL ARCANGEL;Publica
14038;Publica
14078;Publica
14079 DIVINO MAESTRO;Publica
14093 ABRAHAM RUIZ NUNURA;Publica
14100;Publica
14107 SANTA ROSA DE LIMA;Publica
14127 DORA JACINTA ZAPATA DE ZEGARRA;Publica
14132;Publica
14144 SANTA ROSA;Publica
14146;Publica
142 MARTIR DANIEL ALCIDES CARRION;Publica
14203;Publica
14207;Publica
14238;Publica
14300;Publica
14307 MARIA REYNA DE LA PAZ;Publica
14316;Publica
14328;Publica
14329;Publica
14345;Publica
14379 SAN JUAN;Publica
14398;Publica
14399 - EL SAUCE;Publica
14412;Publica
14426 CARLOS AUGUSTO SALAVERRY;Publica
14427 COMANDANTE SANTIAGO ROLANDO CANO RIVAS;Publica
14427 SANTIAGO ROLANDO CANO RIVERA;Publica
14429 RICARDO HUMBERTO RAMOS PLATA;Publica
14458 SAN ANTONIO DE PADUA;Publica
14469;Publica
14472 VIRGEN DE LAS MERCEDES;Publica
145 INDEPENDENCIA AMERICANA;Publica
14514 MARIO VARGAS LLOSA;Publica
14518;Publica
14519;Publica
14533 VICTOR RAUL HAYA DE LA TORRE;Publica
14534 JOSE ANTONIO ENCINAS;Publica
14536 MANUEL GONZALEZ PRADA;Publica
14561 JOSE MARIA ARGUEDAS;Publica
14594 SAN JOSE;Publica
14613 JORGE DUBERLY BENITES SANCHEZ AMP SECUNDARIA;Publica
14682;Publica
14739 ELISEO ALCIDES BERNAL LA SERNA;Publica
14741 SEÑOR DE LOS MILAGROS;Publica
14743 SAGRADO CORAZON DE JESUS;Publica
14746 DIOS ES AMOR;Publica
14762 LUCIANO CASTILLO COLONNA;Publica
14781 HIDEBRANDO CASTRO POZO;Publica
14785;Publica
14787 VICTOR RAUL HAYA DE LA TORRE;Publica
14790 MARIA IGNACIA GARCIA DE GONZALES;Publica
14791;Publica
14793 LUCIANO CASTILLO;Publica
14803;Publica
14809 ROSITA DE SANTAMARIA;Publica
14810 SAGRADA VIRGEN DEL CARMEN;Publica
14812;Publica
14815;Publica
14870;Publica
14872;Publica
14891;Publica
14902;Publica
14917 MICAELA BASTIDAS;Publica
14921;Publica
14926;Publica
14993 SAGRADA FAMILIA;Publica
15 DE AGOSTO;Publica
15014 MANUEL HIDALGO CARNERO;Publica
15018 CORONEL ANDRES RAZURI;Publica
15022 JUAN PALACIOS PINTADO;Publica
15025 JOSE CARDO;Publica
15026 FLORA CORDOVA DE TALLEDO;Publica
15027 AMAUTA;Publica
15028 AUGUSTO GUTIERREZ MENDOZA;Publica
15029 SANTA TERESA DE JESUS;Publica
15034;Publica
15069 ALMIRANTE MIGUEL GRAU;Publica
15078 SAN PEDRO SAN PABLO;Publica
15079;Publica
15085 JAVIER PEREZ DE CUELLAR;Publica
151;Publica
15109;Publica
15111;Publica
15115;Publica
15117 VICTOR RAUL HAYA DE LA TORRE;Publica
15132 ERIBERTO ARROYO MIO;Publica
15138;Publica
15140;Publica
15157;Publica
15163;Publica
15170;Publica
15177 JOSE OLAYA BALANDRA;Publica
15193 GIGANTES DEL CENEPA;Publica
15212 JUAN VELASCO ALVARADO;Publica
